Ty Dolla $ign	Entergalactic
Rakul Preet Singh	Attack
Rakul Preet Singh	Chhatriwali
Rakul Preet Singh	Cuttputlli
Rakul Preet Singh	Doctor G
Rakul Preet Singh	Nannaku Prematho
Rakul Preet Singh	Runway 34
Rakul Preet Singh	Spyder
Rakul Preet Singh	Thank God
Rakul Preet Singh	Theeran Adhigaaram Ondru
Ranveer Singh	83
Ranveer Singh	Bajirao Mastani
Ranveer Singh	Band Baaja Baaraat
Ranveer Singh	Cirkus
Ranveer Singh	Dil Dhadakne Do
Ranveer Singh	Goliyon Ki Raasleela Ram-leela
Ranveer Singh	Gully Boy
Ranveer Singh	Gunday
Ranveer Singh	Jayeshbhai Jordaar
Ranveer Singh	Ladies vs. Ricky Bahl
Ranveer Singh	Lootera
Ranveer Singh	Padmaavat
Ranveer Singh	Rocky Aur Rani Kii Prem Kahaani
Ranveer Singh	Simmba
Ranveer Singh	Sooryavanshi
Sunny Singh	Pyaar Ka Punchnama 2
Sunny Singh	Sonu Ke Titu Ki Sweety
Sushant Singh	The Legend of Bhagat Singh
Vineet Kumar Singh	Ugly
Yograj Singh	Chandigarh Kare Aashiqui
Adrija Sinha	Sanak
Poonam Sinha	Jodhaa Akbar
Sonakshi Sinha	Bhuj: The Pride of India
Sonakshi Sinha	Dabangg
Sonakshi Sinha	Dabangg 2
Sonakshi Sinha	Dabangg 3
Sonakshi Sinha	Holiday
Sonakshi Sinha	Ittefaq
Sonakshi Sinha	Lootera
Sonakshi Sinha	Mission Mangal
Sonakshi Sinha	Rowdy Rathore
Sonakshi Sinha	Son of Sardaar
Vedant Sinha	The White Tiger
Ibrahim Sinik	The Act of Killing
Gary Sinise	Apollo 13
Gary Sinise	Forrest Gump
Gary Sinise	I Still Believe
Gary Sinise	Impostor
Gary Sinise	Mission to Mars
Gary Sinise	Of Mice and Men
Gary Sinise	Open Season
Gary Sinise	Ransom
Gary Sinise	Reindeer Games
Gary Sinise	Snake Eyes
Gary Sinise	The Big Bounce
Gary Sinise	The Human Stain
Bucky Sinister	Willow Creek
Sadie Sink	Fear Street: 1978
Sadie Sink	The Whale
Albert Sinkys	Ms .45
Shaun Sipos	Enter Nowhere
Shaun Sipos	Rampage
Sebastien Sisak	Zashchitniki
Tomer Sisley	Largo Winch
Sisqó	Get Over It
Sisqó	Snow Dogs
Michelan Sisti	Teenage Mutant Ninja Turtles II: The Secret of the Ooze
Jeremy Sisto	Angel Eyes
Jeremy Sisto	May
Jeremy Sisto	The Other Side of the Door
Jeremy Sisto	Waitress
Jeremy Sisto	Wrong Turn
Jules Sitruk	La marche de l'empereur
Sivakarthikeyan	Doctor
Sivakarthikeyan	Don
Ori Sivan	Vals Im Bashir
Jamie Sives	Triage
Wabei Siyolwe	Cry Freedom
Dale Sizemore	Black Hawk Down
Kevin Sizemore	Mine 9
Tom Sizemore	Big Trouble
Tom Sizemore	Black Hawk Down
Tom Sizemore	Devil in a Blue Dress
Tom Sizemore	Natural Born Killers
Tom Sizemore	Passenger 57
Tom Sizemore	Red Planet
Tom Sizemore	Saving Private Ryan
Tom Sizemore	Strange Days
Tom Sizemore	Striking Distance
Tom Sizemore	The Relic
Tom Sizemore	USS Indianapolis: Men of Courage
Helen Sjöholm	Så som i himmelen
Pernilla Sjöholm	The Tinder Swindler
Victor Sjöström	Körkarlen
Victor Sjöström	Smultronstället
Lilia Skala	Flashdance
Lilia Skala	House of Games
Lilia Skala	Lilies of the Field
Alek Skarlatos	The 15:17 to Paris
Alexander Skarsgård	Battleship
Alexander Skarsgård	Godzilla vs. Kong
Alexander Skarsgård	Hidden
Alexander Skarsgård	Hold the Dark
Alexander Skarsgård	Infinity Pool
Alexander Skarsgård	Melancholia
Alexander Skarsgård	Mute
Alexander Skarsgård	Straw Dogs
Alexander Skarsgård	The Diary of a Teenage Girl
Alexander Skarsgård	The East
Alexander Skarsgård	The Hummingbird Project
Alexander Skarsgård	The Legend of Tarzan
Alexander Skarsgård	The Northman
Alexander Skarsgård	War on Everyone
Alexander Skarsgård	What Maisie Knew
Bill Skarsgård	Barbarian
Bill Skarsgård	It
Bill Skarsgård	Nine Days
Bill Skarsgård	The Devil All the Time
Bill Skarsgård	Villains
Gustaf Skarsgård	Kon-Tiki
Gustaf Skarsgård	Ondskan
Gustaf Skarsgård	Patrik 1,5
Stellan Skarsgård	Angels & Demons
Stellan Skarsgård	Arn: Tempelriddaren
Stellan Skarsgård	Beowulf & Grendel
Stellan Skarsgård	Borg McEnroe
Stellan Skarsgård	Breaking the Waves
Stellan Skarsgård	Dominion: Prequel to the Exorcist
Stellan Skarsgård	Exorcist: The Beginning
Stellan Skarsgård	Good Will Hunting
Stellan Skarsgård	Goya's Ghosts
Stellan Skarsgård	Insomnia
Stellan Skarsgård	Kongen av Bastøy
Stellan Skarsgård	Kraftidioten
Stellan Skarsgård	Mamma Mia!
Stellan Skarsgård	Nymphomaniac: Vol. I
Stellan Skarsgård	Nymphomaniac: Vol. II
Stellan Skarsgård	Our Kind of Traitor
Stellan Skarsgård	Ronin
Stellan Skarsgård	The Girl with the Dragon Tattoo
Stellan Skarsgård	The Glass House
Stellan Skarsgård	The Physician
Stellan Skarsgård	The Railway Man
Stellan Skarsgård	Thor: The Dark World
Jenny Skavlan	Død snø
Sophie Skelton	Day of the Dead: Bloodline
Léna Skerla	Le feu follet
Tom Skerritt	A River Runs Through It
Tom Skerritt	Alien
Tom Skerritt	Contact
Tom Skerritt	MASH
Tom Skerritt	Poison Ivy
Tom Skerritt	Poltergeist III
Tom Skerritt	The Dead Zone
Tom Skerritt	The Other Sister
Tom Skerritt	Whiteout
Ahilleas Skevis	Mia aioniotita kai mia mera
Claire Skinner	Life Is Sweet
Cornelia Otis Skinner	The Uninvited
Hugh Skinner	The Invitation
Ed Skrein	Deadpool
Ed Skrein	I Used to Be Famous
Ed Skrein	Ill Manors
Ed Skrein	In Darkness
Ed Skrein	Midway
Ed Skrein	Tau
Ed Skrein	The Transporter Refueled
Gabriel Sky	Seberg
Briana Skye	Dangerous Lies
Ione Skye	River's Edge
Ione Skye	Say Anything...
Mia Skäringer	Hundraåringen som klev ut genom fönstret och försvann
Ben Slack	Society
Demian Slade	Better Off Dead...
Max Elliott Slade	3 Ninjas
Mitchell Slaggert	Wish Upon
Jenny Slate	I Want You Back
Jenny Slate	Marcel the Shell with Shoes On
Jenny Slate	Obvious Child
Jenny Slate	The Polka King
Jenny Slate	Zootopia
Jeremy Slate	True Grit
Christian Slater	3000 Miles to Graceland
Christian Slater	Alone in the Dark
Christian Slater	Broken Arrow
Christian Slater	Bullet to the Head
Christian Slater	Der Name der Rose
Christian Slater	FernGully: The Last Rainforest
Christian Slater	Freaky Deaky
Christian Slater	Hard Rain
Christian Slater	He Was a Quiet Man
Christian Slater	Heathers
Christian Slater	Kuffs
Christian Slater	Mindhunters
Christian Slater	Murder in the First
Christian Slater	Pump Up the Volume
Christian Slater	Robin Hood: Prince of Thieves
Christian Slater	Tales from the Darkside: The Movie
Christian Slater	The Contender
Christian Slater	The Legend of Billie Jean
Christian Slater	The Wife
Christian Slater	True Romance
Christian Slater	Untamed Heart
Christian Slater	Very Bad Things
Christian Slater	Young Guns II
Helen Slater	Ruthless People
Helen Slater	Supergirl
Helen Slater	The Legend of Billie Jean
Helen Slater	The Secret of My Succe$s
John Slattery	Churchill
John Slattery	Dirty Dancing: Havana Nights
Haaz Sleiman	The Visitor
Victor Slezak	The Bridges of Madison County
Walter Slezak	Lifeboat
Sami Slimane	Athena
Dartanian Sloan	Sinister 2
Robert Daniel Sloan	Sinister 2
Barbara Sloane	Wizards
Everett Sloane	The Lady from Shanghai
Lindsay Sloane	The In-Laws
Micah Sloat	Paranormal Activity
Micah Sloat	Paranormal Activity 2
James Sloyan	Xanadu
Samantha Sloyan	Hush
McCabe Slye	Fear Street: 1978
Samuel Paul Small	The Strays
Sharon Small	About a Boy
Amy Smart	Columbus Circle
Amy Smart	Crank
Amy Smart	Crank: High Voltage
Amy Smart	Flight 7500
Amy Smart	Just Friends
Amy Smart	Mirrors
Amy Smart	Peaceful Warrior
Amy Smart	Rat Race
Amy Smart	Road Trip
Amy Smart	The Butterfly Effect
Jean Smart	Babylon
Jean Smart	Hope Springs
Jean Smart	Youth in Revolt
Tamara Smart	Artemis Fowl
Pat Smear	Studio 666
Werner De Smedt	De zaak Alzheimer
Ron Smerczak	Ngo si seoi
Laura Smet	Yves Saint Laurent
Kiddy Smile	Climax
Michael Smiley	Burke & Hare
Michael Smiley	Censor
Michael Smiley	Kill List
Michael Smiley	The Hallow
Aleksei Smirnov	Operatsiya 'Y' i drugie priklyucheniya Shurika
Andrey Smirnov	Elena
Hunter Smit	Tales of Halloween
Huub Smit	New Kids Nitro
Huub Smit	New Kids Turbo
Milena Smit	Madres paralelas
Kodi Smit-McPhee	2067
Kodi Smit-McPhee	Alpha
Kodi Smit-McPhee	Dawn of the Planet of the Apes
Kodi Smit-McPhee	Let Me In
Kodi Smit-McPhee	ParaNorman
Kodi Smit-McPhee	Slow West
Kodi Smit-McPhee	The Congress
Kodi Smit-McPhee	The Power of the Dog
Kodi Smit-McPhee	The Road
Kodi Smit-McPhee	Young Ones
Alexis Smith	The Little Girl Who Lives Down the Lane
Algee Smith	Detroit
Algee Smith	Mother/Android
Amanda Smith	Remember
Ben Bailey Smith	Persuasion
Brandon Smith	Jeepers Creepers 3
Bubba Smith	Police Academy
Bubba Smith	Police Academy 2: Their First Assignment
Bubba Smith	Police Academy 3: Back in Training
Bubba Smith	Police Academy 4: Citizens on Patrol
Bubba Smith	Police Academy 5: Assignment: Miami Beach
Bubba Smith	Police Academy 6: City Under Siege
Charles Martin Smith	American Graffiti
Charles Martin Smith	Starman
Charles Martin Smith	The Hot Spot
Charles Martin Smith	The Untouchables
Christopher Nicholas Smith	Good on Paper
Christopher Nicholas Smith	Paranormal Activity 3
Craig Smith	Bad Taste
David Lee Smith	The Man from Earth
Denzil Smith	Badla
Denzil Smith	Bellbottom
Douglas Smith	Santa's Slay
Douglas Smith	The Bye Bye Man
Dylan Smith	First Cow
Dylan Smith	One Hour Photo
Eli A. Smith	Tesla
Elijah Smith	Boyhood
Gregory Smith	Harriet the Spy
Gregory Smith	Small Soldiers
Harley Quinn Smith	Jay and Silent Bob Strike Back
Harley Quinn Smith	Yoga Hosers
Ian Michael Smith	Simon Birch
J. Todd Smith	What to Expect When You're Expecting
Jada Pinkett Smith	Bamboozled
Jada Pinkett Smith	Collateral
Jada Pinkett Smith	Girls Trip
Jada Pinkett Smith	Madagascar
Jada Pinkett Smith	Madagascar 3: Europe's Most Wanted
Jada Pinkett Smith	Madagascar: Escape 2 Africa
Jada Pinkett Smith	Reign Over Me
Jada Pinkett Smith	Scream 2
Jada Pinkett Smith	Set It Off
Jada Pinkett Smith	Tales from the Crypt: Demon Knight
Jada Pinkett Smith	The Nutty Professor
Jaden Smith	After Earth
Jaden Smith	Life in a Year
Jaden Smith	The Day the Earth Stood Still
Jaden Smith	The Karate Kid
Jaden Smith	The Pursuit of Happyness
Jamie Renée Smith	Dante's Peak
Jamie Smith	Killer's Kiss
Justice Smith	All the Bright Places
Justice Smith	Dungeons & Dragons: Honor Among Thieves
Justice Smith	Every Day
Justice Smith	Jurassic World: Fallen Kingdom
Justice Smith	Paper Towns
Justice Smith	Pokémon: Detective Pikachu
Justice Smith	Sharper
Justice Smith	The Voyeurs
Kent Smith	Cat People
Kent Smith	The Fountainhead
Kent Smith	The Spiral Staircase
Kerr Smith	Final Destination
Kerr Smith	My Bloody Valentine
Kevin Smith	Catch and Release
Kevin Smith	Jay and Silent Bob Strike Back
Kurtwood Smith	Boxing Helena
Kurtwood Smith	El Camino Christmas
Kurtwood Smith	Fortress
Kurtwood Smith	Rambo III
Kurtwood Smith	The Crush
Lane Smith	Son in Law
Lane Smith	The Distinguished Gentleman
Lane Smith	The Mighty Ducks
Lauren Lee Smith	Lie with Me
Mackenzie Brooke Smith	God Bless America
Maggie Smith	A Boy Called Christmas
Maggie Smith	A Room with a View
Maggie Smith	Clash of the Titans
Maggie Smith	Evil Under the Sun
Maggie Smith	Gnomeo & Juliet
Maggie Smith	Gosford Park
Maggie Smith	Harry Potter and the Sorcerer's Stone
Maggie Smith	Keeping Mum
Maggie Smith	Ladies in Lavender
Maggie Smith	Quartet
Maggie Smith	Sister Act
Maggie Smith	Sister Act 2: Back in the Habit
Maggie Smith	The Best Exotic Marigold Hotel
Maggie Smith	The First Wives Club
Maggie Smith	The Lady in the Van
Maggie Smith	The Second Best Exotic Marigold Hotel
Maggie Smith	The Secret Garden
Maggie Smith	Un tè con Mussolini
Marcus Terrell Smith	Little Evil
Mary Jo Smith	One Night at McCool's
Matt Smith	His House
Matt Smith	Last Night in Soho
Matt Smith	Lost River
Matt Smith	Morbius
Matt Smith	Official Secrets
Matt Smith	Outsourced
Matt Smith	Womb
Michael Bailey Smith	The Hills Have Eyes II
Mike Smith	Trailer Park Boys: The Movie
Na-kel Smith	Mid90s
Paul L. Smith	Red Sonja
Pete Smith	The Quiet Earth
Roger B. Smith	Roger & Me
Roger Craig Smith	Resident Evil: Degeneration
Shawnee Smith	Saw III
Shawnee Smith	Saw X
Shawnee Smith	The Blob
Shawnee Smith	The Grudge 3
Sukie Smith	Topsy-Turvy
Suzanne Smith	A Rainy Day in New York
T. Ryder Smith	Brainscan
Taylor John Smith	Blacklight
Taylor John Smith	Shadow in the Cloud
Taylor John Smith	Where the Crawdads Sing
Taylor John Smith	You Get Me
Terri Susan Smith	Basket Case
Will Smith	After Earth
Will Smith	Aladdin
Will Smith	Ali
Will Smith	Bad Boys
Will Smith	Bad Boys II
Will Smith	Bad Boys for Life
Will Smith	Bright
Will Smith	Collateral Beauty
Will Smith	Concussion
Will Smith	Emancipation
Will Smith	Enemy of the State
Will Smith	Focus
Will Smith	Gemini Man
Will Smith	Hancock
Will Smith	Hitch
Will Smith	I Am Legend
Will Smith	I, Robot
Will Smith	Independence Day
Will Smith	King Richard
Will Smith	Made in America
Will Smith	Men in Black
Will Smith	Men in Black 3
Will Smith	Men in Black II
Will Smith	Seven Pounds
Will Smith	Shark Tale
Will Smith	Six Degrees of Separation
Will Smith	Suicide Squad
Will Smith	The Legend of Bagger Vance
Will Smith	The Pursuit of Happyness
Will Smith	Wild Wild West
William Smith	Any Which Way You Can
Yeardley Smith	Maximum Overdrive
Yeardley Smith	The Simpsons Movie
J. Smith-Cameron	Margaret
J. Smith-Cameron	The Rage: Carrie 2
Bill Smitrovich	The November Man
Jimmy Smits	Bless the Child
Jimmy Smits	Switch
Jimmy Smits	The Million Dollar Hotel
Sonja Smits	Videodrome
Jurnee Smollett	Birds of Prey and the Fantabulous Emancipation of One Harley Quinn
Jurnee Smollett	Eve's Bayou
Jurnee Smollett	Lou
Jurnee Smollett	Spiderhead
Jurnee Smollett	Temptation: Confessions of a Marriage Counselor
Jurnee Smollett	The Burial
Mariya Smolnikova	Stalingrad
Artur Smolyaninov	9 rota
J.B. Smoove	Pootie Tang
Cobie Smulders	Delivery Man
Cobie Smulders	Jack Reacher: Never Go Back
Cobie Smulders	Safe Haven
Cobie Smulders	They Came Together
Karina Smulders	Speak No Evil
Kasia Smutniak	From Paris with Love
Kasia Smutniak	Goal! III
Maria Thelma Smáradóttir	Arctic
Wim Snape	The Full Monty
Wesley Snipes	Blade
Wesley Snipes	Blade II
Wesley Snipes	Blade: Trinity
Wesley Snipes	Brooklyn's Finest
Wesley Snipes	Chaos
Wesley Snipes	Chi-Raq
Wesley Snipes	Demolition Man
Wesley Snipes	Drop Zone
Wesley Snipes	Jungle Fever
Wesley Snipes	Mo' Better Blues
Wesley Snipes	Money Train
Wesley Snipes	Murder at 1600
Wesley Snipes	New Jack City
Wesley Snipes	Passenger 57
Wesley Snipes	Rising Sun
Wesley Snipes	The Art of War
Wesley Snipes	The Fan
Wesley Snipes	To Wong Foo Thanks for Everything, Julie Newmar
Wesley Snipes	U.S. Marshals
Wesley Snipes	Undisputed
Wesley Snipes	White Men Can't Jump
Carrie Snodgress	Pale Rider
Carrie Snodgress	The Fury
Sarah Snook	An American Pickle
Sarah Snook	Holding the Man
Sarah Snook	Jessabelle
Sarah Snook	Predestination
Sarah Snook	Winchester
Puff Snooty	Murder Party
Brittany Snow	Bushwick
Brittany Snow	Hangman
Brittany Snow	Pitch Perfect
Brittany Snow	Pitch Perfect 2
Brittany Snow	Pitch Perfect 3
Brittany Snow	Prom Night
Brittany Snow	Someone Great
Brittany Snow	Syrup
Brittany Snow	The Pacifier
Brittany Snow	Would You Rather
Brittany Snow	X
Edward Snowden	Citizenfour
Clayton Snyder	The Lizzie McGuire Movie
Dana Snyder	Aqua Teen Hunger Force Colon Movie Film for Theaters
Suzanne Snyder	Killer Klowns from Outer Space
Moon So-ri	Ah-ga-ssi
Moon So-ri	Bakha satang
Moon So-ri	Oasiseu
Kal So-won	7-beon-bang-ui seon-mul
Joe Soares	Murderball
Robert Soares	Murderball
Leelee Sobieski	88 Minutes
Leelee Sobieski	In the Name of the King: A Dungeon Siege Tale
Leelee Sobieski	Joy Ride
Leelee Sobieski	The Glass House
Leelee Sobieski	The Wicker Man
Andreas Sobik	Gold
Michael Socha	Killers Anonymous
Sveng Socheata	First They Killed My Father
André Sogliuzzo	Open Season 3
Hervé Sogne	JCVD
Peter Sohn	Lightyear
Sara Sohn	Run
Marilyn Sokol	The Basketball Diaries
Marla Sokoloff	Dude, Where's My Car?
Marla Sokoloff	Sugar & Spice
Marla Sokoloff	Whatever It Takes
Siiri Solalinna	Pahanhautoja
Íker Sánchez Solano	Bardo, falsa crónica de unas cuantas verdades
P.J. Soles	Rock 'n' Roll High School
Magaly Solier	Blackthorn
Cristian Solimeno	La terza madre
Cristian Solimeno	Rogue Trader
Raffaele Sollecito	Amanda Knox
Ksenia Solo	Pet
Manolo Solo	El buen patrón
Yuriy Solomin	Dersu Uzala
Anatoliy Solonitsyn	Andrey Rublyov
Anatoliy Solonitsyn	Stalker
Paula Solvak	Klass
Milind Soman	Bheja Fry
Milind Soman	Starfish
Guru Somasundaram	Minnal Murali
Yanti Somer	... continuavano a chiamarlo Trinità
Ian Somerhalder	Pulse
Ian Somerhalder	The Rules of Attraction
Ian Somerhalder	The Tournament
Kristi Somers	Girls Just Want to Have Fun
Jimmy Somerville	Orlando
Phyllis Somerville	Lucky You
Shôta Sometani	Bakemono no ko
Shôta Sometani	Ryû to sobakasu no hime
Shôta Sometani	Suzume no Tojimari
Elke Sommer	A Shot in the Dark
Josef Sommer	Witness
Rich Sommer	Fair Play
Ashley Sommers	Odd Thomas
Josef Somr	Ostre sledované vlaky
Suzanna Son	Red Rocket
Gale Sondergaard	The Mark of Zorro
Yûta Sone	Gokudô kyôfu dai-gekijô: Gozu
Brenda Song	Like Mike
Brenda Song	Secret Obsession
Dandan Song	Shi mian mai fu
Jae-ho Song	Salinui chueok
Trey Songz	Texas Chainsaw 3D
Jayshree Soni	MSG: The Messenger of God
Karan Soni	Creep 2
Karan Soni	Like a Boss
Karan Soni	Office Uprising
Karan Soni	Safety Not Guaranteed
Sonic	Locked Down
Phillipa Soo	Hamilton
Phillipa Soo	The One and Only Ivan
Kim Soo-Kyung	Beoning
Lim Soo-jung	Janghwa, Hongryeon
Lim Soo-jung	Ssa-i-bo-geu-ji-man-gwen-chan-a
Kang Soo-youn	Jung_E
Nikki SooHoo	Stick It
Sonu Sood	Athadu
Sonu Sood	Dabangg
Sonu Sood	Dookudu
Sonu Sood	Jodhaa Akbar
Sonu Sood	Simmba
Bahar Soomekh	Saw III
Bensu Soral	Organize Isler: Sazan Sarmali
Türkan Soray	Selvi Boylum Al Yazmalim
Kevin Sorbo	God's Not Dead
Kevin Sorbo	Meet the Spartans
Alberto Sordi	I vitelloni
Jean Sorel	Belle de jour
Nancy Sorel	How It Ends
Ted Sorel	From Beyond
Rickie Sorensen	The Sword in the Stone
J.J. Soria	Hamlet 2
J.J. Soria	The Purge: Election Year
Baptiste Sornin	Deux jours, une nuit
Mira Sorvino	At First Sight
Mira Sorvino	Exposed
Mira Sorvino	Lamborghini: The Man Behind the Legend
Mira Sorvino	Look Away
Mira Sorvino	Mighty Aphrodite
Mira Sorvino	Mimic
Mira Sorvino	Romy and Michele's High School Reunion
Mira Sorvino	Sound of Freedom
Mira Sorvino	Stuber
Mira Sorvino	Summer of Sam
Mira Sorvino	The Final Cut
Mira Sorvino	The Replacement Killers
Paul Sorvino	Cruising
Paul Sorvino	Knock Off
Paul Sorvino	Repo! The Genetic Opera
Paul Sorvino	The Stuff
Heather Sossaman	Unfriended
Shannyn Sossamon	40 Days and 40 Nights
Shannyn Sossamon	A Knight's Tale
Shannyn Sossamon	One Missed Call
Shannyn Sossamon	Sinister 2
Shannyn Sossamon	The Order
Shannyn Sossamon	The Rules of Attraction
Eddie 'Piolin' Sotelo	A Better Life
Paul Soter	Beerfest
Paul Soter	Super Troopers 2
Ann Sothern	A Letter to Three Wives
Bobby Soto	The Tax Collector
Maria Rodríguez Soto	El practicante
Talisa Soto	Ballistic: Ecks vs. Sever
Talisa Soto	Licence to Kill
Talisa Soto	Mortal Kombat: Annihilation
Nasrin Sotoudeh	Taxi
Kath Soucie	The Rugrats Movie
Nicole Sougou	Atlantique
David Soul	Magnum Force
Anastasios Soulis	Red Dot
Djiby Soumare	Frantic
Melissa De Sousa	The Best Man Holiday
Karla Souza	No se aceptan devoluciones
Karla Souza	Nosotros los Nobles
Filip Sovagovic	No Man's Land
Hale Soygazi	Süt Kardesler
Catherine Spaak	Il gatto a nove code
Catherine Spaak	Il sorpasso
Sissy Spacek	3 Women
Sissy Spacek	A Home at the End of the World
Sissy Spacek	Affliction
Sissy Spacek	An American Haunting
Sissy Spacek	Badlands
Sissy Spacek	Blast from the Past
Sissy Spacek	Carrie
Sissy Spacek	Coal Miner's Daughter
Sissy Spacek	Deadfall
Sissy Spacek	Get Low
Sissy Spacek	In the Bedroom
Sissy Spacek	Missing
Sissy Spacek	The Grass Harp
Sissy Spacek	The Old Man & the Gun
Sissy Spacek	The Ring Two
Sissy Spacek	The Straight Story
Sissy Spacek	Tuck Everlasting
Kevin Spacey	21
Kevin Spacey	A Bug's Life
Kevin Spacey	A Time to Kill
Kevin Spacey	American Beauty
Kevin Spacey	Beyond the Sea
Kevin Spacey	Billionaire Boys Club
Kevin Spacey	Casino Jack
Kevin Spacey	Edison
Kevin Spacey	Elvis & Nixon
Kevin Spacey	Hurlyburly
Kevin Spacey	K-PAX
Kevin Spacey	L.A. Confidential
Kevin Spacey	Margin Call
Kevin Spacey	Midnight in the Garden of Good and Evil
Kevin Spacey	Moon
Kevin Spacey	Nine Lives
Kevin Spacey	Ordinary Decent Criminal
Kevin Spacey	Outbreak
Kevin Spacey	Pay It Forward
Kevin Spacey	Rebel in the Rye
Kevin Spacey	Se7en
Kevin Spacey	See No Evil, Hear No Evil
Kevin Spacey	Shrink
Kevin Spacey	Superman Returns
Kevin Spacey	Swimming with Sharks
Kevin Spacey	The Big Kahuna
Kevin Spacey	The Life of David Gale
Kevin Spacey	The Men Who Stare at Goats
Kevin Spacey	The Negotiator
Kevin Spacey	The Ref
Kevin Spacey	The Shipping News
Kevin Spacey	The United States of Leland
Kevin Spacey	The Usual Suspects
David Spade	Black Sheep
David Spade	Dickie Roberts: Former Child Star
David Spade	Father of the Year
David Spade	Grown Ups 2
David Spade	Joe Dirt
David Spade	Racing Stripes
David Spade	Senseless
David Spade	The Benchwarmers
David Spade	The Do-Over
David Spade	The Emperor's New Groove
David Spade	The Wrong Missy
David Spade	Tommy Boy
James Spader	Bad Influence
James Spader	Crash
James Spader	Less Than Zero
James Spader	Mannequin
James Spader	Secretary
James Spader	Sex, Lies, and Videotape
James Spader	Stargate
James Spader	Supernova
James Spader	The Watcher
James Spader	Wolf
Cailee Spaeny	Pacific Rim: Uprising
Cailee Spaeny	The Craft: Legacy
Rafe Spall	I Give It a Year
Rafe Spall	Jurassic World: Fallen Kingdom
Rafe Spall	The Ritual
Rafe Spall	X+Y
Timothy Spall	All or Nothing
Timothy Spall	Death Defying Acts
Timothy Spall	Denial
Timothy Spall	Early Man
Timothy Spall	Mr. Turner
Timothy Spall	Secrets & Lies
Timothy Spall	Spencer
Timothy Spall	Sweeney Todd: The Demon Barber of Fleet Street
Timothy Spall	The Love Punch
Timothy Spall	The Pale Blue Eye
Timothy Spall	The Party
Timothy Spall	Upside Down
Vincent Spano	Alive
John Sparkes	A Shaun the Sheep Movie: Farmageddon
John Sparkes	Shaun the Sheep Movie
Paul Sparks	The Lovebirds
Paul Sparks	Thoroughbreds
Steve Spear	Interreflections
Hannah Spearritt	Agent Cody Banks 2: Destination London
Britney Spears	Crossroads
Morgan Spector	A Vigilante
Scott Speedman	Barefoot
Scott Speedman	Crimes of the Future
Scott Speedman	Dark Blue
Scott Speedman	My Life Without Me
Scott Speedman	The Captive
Scott Speedman	The Strangers
Scott Speedman	Underworld
Scott Speedman	Underworld: Evolution
Scott Speedman	xXx: State of the Union
Richard Speight Jr.	Open Water 2: Adrift
Ed Speleers	A Lonely Place to Die
Ed Speleers	Breathe
Ed Speleers	Eragon
Bruce Spence	Backtrack
Bruce Spence	Mad Max 2
Bruce Spence	Mad Max Beyond Thunderdome
Peter Spence	One Week
Abigail Spencer	Chasing Mavericks
Abigail Spencer	Cowboys & Aliens
Abigail Spencer	The Forger
Abigail Spencer	The Haunting in Connecticut 2: Ghosts of Georgia
Bud Spencer	... continuavano a chiamarlo Trinità
Bud Spencer	...altrimenti ci arrabbiamo!
Bud Spencer	Chi trova un amico trova un tesoro
Bud Spencer	I due superpiedi quasi piatti
Bud Spencer	Lo chiamavano Trinità...
Bud Spencer	Nati con la camicia
Bud Spencer	Non c'è due senza quattro
Jesse Spencer	Uptown Girls
John Spencer	The Rock
Octavia Spencer	Black or White
Octavia Spencer	Encounter
Octavia Spencer	Fruitvale Station
Octavia Spencer	Gifted
Octavia Spencer	Hidden Figures
Octavia Spencer	Luce
Octavia Spencer	Ma
Octavia Spencer	Onward
Octavia Spencer	Small Town Crime
Octavia Spencer	Spirited
Octavia Spencer	The Help
Octavia Spencer	The Shack
Octavia Spencer	The Shape of Water
Octavia Spencer	The Witches
Octavia Spencer	Thunder Force
Paul Spera	On the Line
Jason Spevack	Fever Pitch
Jason Spevack	Sunshine Cleaning
Sasha Spielberg	The Art of Getting By
Joe Spinell	Maniac
Stephen Spinella	Rubber
Stephen Spinella	Virtuosity
Frank Spinelli	The Prototype
Brent Spiner	Star Trek: First Contact
Brent Spiner	Star Trek: Insurrection
Brent Spiner	Star Trek: Nemesis
Maryana Spivak	Nelyubov
Lisa Spoonauer	Clerks
Gregory Sporleder	Clay Pigeons
G.D. Spradlin	Zabriskie Point
Alan Van Sprang	Survival of the Dead
Dylan Sprayberry	Sick
Ellery Sprayberry	Wakefield
Caoilinn Springall	The Midnight Sky
Karin Springer	Angst
Pamela Springsteen	Sleepaway Camp II: Unhappy Campers
Cole Sprouse	Big Daddy
Cole Sprouse	Five Feet Apart
Dylan Sprouse	After We Collided
Sam Spruell	K-19: The Widowmaker
Sam Spruell	Starred Up
Morgan Spurlock	Super Size Me
Dina Spybey-Waters	Just Like Heaven
June Squibb	Alice
June Squibb	Godmothered
June Squibb	Nebraska
June Squibb	Would You Rather
William Squire	The Lord of the Rings
Hayley Squires	I, Daniel Blake
Hayley Squires	In the Earth
Simon Srebnik	Shoah
Vineeth Sreenivasan	2018
Sridevi	English Vinglish
Sridevi	Mom
Sridevi	Mr. India
Sridevi	Puli
Srihari	Magadheera
Meka Srikanth	Akhanda
Srikanth	Nanban
Shraddha Srinath	Jersey
Shraddha Srinath	Nerkonda Paarvai
Shraddha Srinath	Vikram Vedha
Sangeetha Sringeri	777 Charlie
